               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12433,            0.033594,                   0,           0.0033333,                 0.4,             0.20084,            0.059219,            0.036228,            0.024832,                   0,              0.0955,              0.0005,              0.0005
                   1,             0.11166,            0.032399,                   0,           0.0080608,                 0.6,             0.11788,            0.018748,            0.036145,            0.022418,                   0,            0.090078,           0.0010782,           0.0010782
                   2,             0.10411,            0.031432,                   0,            0.042357,                 0.8,             0.41974,            0.088838,             0.02844,            0.020708,                   0,            0.084633,           0.0016327,           0.0016327
                   3,            0.092476,            0.033536,                   0,             0.11833,                 0.6,             0.30298,            0.087275,            0.021286,            0.019736,                   0,            0.079163,           0.0021634,           0.0021634
                   4,            0.087115,            0.031398,                   0,             0.23718,                 0.8,             0.79204,             0.26977,            0.018214,            0.017806,                   0,             0.07367,           0.0026703,           0.0026703
                   5,            0.071472,            0.030374,                   0,             0.65609,                 0.4,             0.56879,             0.19073,            0.024373,            0.015478,                   0,            0.068154,           0.0031535,           0.0031535
                   6,            0.075561,            0.029722,                   0,             0.53555,                 0.4,             0.43958,             0.20653,            0.015707,             0.01481,                   0,            0.062613,           0.0036129,           0.0036129
                   7,            0.067303,             0.02792,                   0,             0.79349,                 0.4,             0.50363,             0.16928,            0.019384,            0.013932,                   0,            0.057049,           0.0040486,           0.0040486
                   8,            0.066519,            0.025465,                   0,             0.87753,                 0.4,             0.45329,              0.2651,            0.017067,            0.012962,                   0,             0.05146,           0.0044605,           0.0044605
                   9,            0.063396,            0.024287,                   0,             0.18683,                 0.4,             0.16333,            0.045571,            0.024283,            0.011995,                   0,            0.045849,           0.0048486,           0.0048486
                  10,            0.061888,            0.022406,                   0,             0.81293,                 0.4,             0.56693,             0.19365,            0.017467,            0.010137,                   0,            0.040213,            0.005213,            0.005213
                  11,            0.059885,            0.021705,                   0,             0.48947,                 0.8,             0.66357,             0.26505,            0.015275,           0.0092016,                   0,            0.034554,           0.0055536,           0.0055536
